S01	S02	S03	S04	S05	S06	S07	S08	S09	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30
buffer_test_bin.51	0.5086507	0.5071941	0.66606784	0.5070843	0.5656578	0.5021248	0.40072665	0.32008246	0.36616358	0.5901447	0.036200702	0.20864086	0.02620462	0.035350025	0.047532305	0.08885969	0.1963576	0.14042538	0.13795549	0.086434215	0.49929747	0.49492338	0.590226	0.5120467	0.50240266	0.31499308	0.327423	0.38816845	0.3584568	0.5359164
buffer_test_bin.52	0.9604069	0.97958416	0.9793968	0.97234714	0.9769735	0.9655523	0.94261444	0.9454491	0.95346135	0.97338074	0.9505271	0.98330176	0.9731536	0.9696713	0.97807133	0.9788094	0.979576	0.97858316	0.97068906	0.94019425	0.96868885	0.9637453	0.96444446	0.9730517	0.957765	0.9382963	0.9156558	0.9512747	0.95715994	0.9606006
buffer_test_bin.53	0.95653796	0.9708968	0.9819476	0.96657705	0.9742041	0.98076504	0.9586176	0.9341414	0.95483047	0.9836764	0.31829476	0.8808656	0.44951308	0.3648683	0.57803875	0.98674166	0.97411656	0.987494	0.9851212	0.99022365	0.9607467	0.9206187	0.96078914	0.9678603	0.95307016	0.85857505	0.85449743	0.95133704	0.9430224	0.9716224
buffer_test_bin.54	0.9115559	0.92205876	0.9726167	0.935279	0.9610219	0.8157324	0.6670933	0.60128814	0.6635423	0.8844049	0.99474335	0.99962795	0.9971223	0.99632484	0.991226	0.994747	0.990516	0.9946042	0.9946999	0.9950399	0.9113784	0.8213782	0.85392654	0.9065844	0.89392304	0.7352312	0.66778463	0.7084513	0.7042203	0.87150294
buffer_test_bin.55	0.69804305	0.7674361	0.82350093	0.77772456	0.79379386	0.7957682	0.49129027	0.5575675	0.5654386	0.68618107	0.57925385	0.9180525	0.6303474	0.6571138	0.55885345	0.49523982	0.5363177	0.5522471	0.5719491	0.5317192	0.48439825	0.4459551	0.5863894	0.5333225	0.467741	0.3684708	0.25353715	0.47196713	0.40279835	0.45818353
buffer_test_bin.56	0.06640579	0.07542433	0.11081505	0.0828785	0.100846395	0.11894819	0.046766408	0.052868776	0.05673506	0.1037899	0.31163415	0.78086317	0.50556374	0.5522576	0.40434965	0.20707268	0.20236842	0.20819128	0.22316378	0.20835195	0.04055804	0.03600609	0.056393623	0.050765473	0.091623105	0.05988276	0.050932847	0.05738167	0.06343048	0.10805453
buffer_test_bin.57	0.5377726	0.5499668	0.63895154	0.554023	0.60728014	0.4449619	0.38895878	0.29776597	0.32728383	0.5337304	0.97080517	0.9991066	0.96233916	0.982507	0.8744141	0.96135473	0.8747434	0.95151407	0.9395875	0.943804	0.52933586	0.4441194	0.57441616	0.60040045	0.51128507	0.36794075	0.36057088	0.3727881	0.37605762	0.5580567
buffer_test_bin.58	0.6642287	0.7412348	0.810365	0.74296165	0.77492535	0.72413826	0.6135355	0.54369473	0.5709364	0.798319	0.59926224	0.8883789	0.8730437	0.8438656	0.8532974	0.7018702	0.72506803	0.69590527	0.6724257	0.5799538	0.8080799	0.74496657	0.7716993	0.8314401	0.6609008	0.48713964	0.45377335	0.58333266	0.5799485	0.69419116
buffer_test_bin.59	0.13203037	0.14013688	0.20923153	0.15690616	0.1770726	0.13167219	0.08856748	0.08279709	0.083497845	0.1598495	0.66751295	0.95162463	0.6177032	0.6777525	0.49245328	0.53260076	0.41822624	0.5093418	0.5500375	0.47842932	0.05480688	0.05081851	0.08155149	0.05929753	0.13621004	0.081745744	0.075709045	0.070609495	0.06684404	0.12848319
buffer_test_bin.5	0.65772766	0.729446	0.75857973	0.7417904	0.784823	0.78462416	0.4554883	0.56595504	0.5580187	0.63431555	0.1597503	0.6364876	0.23152158	0.21471936	0.30310956	0.10924807	0.25602004	0.16695854	0.16805652	0.2502577	0.38688704	0.38983628	0.52217245	0.47566453	0.3804011	0.3169438	0.16789128	0.40497056	0.32445025	0.38755253
